"","loadings"
"EFHB",-0.00168618892559784
"DCTPP1",-0.00121724658122195
"FBXL17",-0.00799131521999683
"ETV1",0.00660266584862562
"NDUFV2",0.022110420693577
"SIRPD",0
"TRPC1",-0.00608863645137501
"CLSPN",-0.00667201302831056
"PSMD14",0.0182294000174822
"DDI2",-0.00109559416661033
"IAH1",0.00189021977442665
"WNT5A",0.00925583763411679
"ADH1C",0
"GPR84",0
"TNC",0.005914738853039
"SEZ6L",0
"CYP4Z1",0
"ARFIP2",0.00337572222632241
"INSL4",0
"DTX3L",-0.00347777883020825
"PIP5K1A",0.001310896061084
"LITAF",0.00646205658973591
"MMEL1",0
"OR2F2",0
"FBXO41",0.000745062200475837
"HTR1D",-0.0132214441641556
"ASB10",0
"HBP1",-0.00284245698424768
"VAMP2",-0.00346802416084922
"ZNF687",0.00503428779031412
"MEX3C",0.00322863128744523
"PCDH11X",-0.0170967339405791
"SOCS6",0.00145246903302649
"OSGEPL1",0.00086233700691661
"ITGB4",0
"HERC3",-0.00227744758068173
"CROT",0.000658040168647344
"ANKRD36B",0.00525207245568225
"ARHGAP31",0.00044324631309014
"CCDC121",0.0133203557737541
"PANX3",0
"HSPA9",0.0090401812246122
"CASP3",0.0079772524929058
"XYLT2",0.00392453664780689
"WWTR1",0.0103264078874206
"GGT5",0.00120448188349191
"PRAMEF10",-0.00270956945586802
"THRSP",-0.00270956945586802
"ERCC3",-0.00584838417790233
"TLL2",-0.0157664717895095
"RAVER2",-0.00736034522089686
"PGAP2",0.000935786087802588
"TXNDC11",0.0010246332450509
"SUOX",0.00151283505129619
"DNM2",-0.00551633670981154
"GNB2",0.00430872474361205
"KLK6",0
"CENPJ",-0.00468112945436145
"CLSTN2",0
"SMCP",0
"MTRNR2L6",0.00982426392110139
"TRIM44",0.00440784579748113
"NCOA3",-0.00981817383562626
"GPC3",0.00608932530880819
"NAGK",-0.00668247187866741
"OR2T3",-0.00791117786026776
"CCDC105",0
"SLC12A5",0
"ITGAD",0
"CD200R1",0
"IGFN1",0
"HRNR",0
"H2AFB1",0
"MED6",0.000113230015695244
"ORC6",0.00397475341496925
"FAM131B",-0.00541297775135915
"PRELP",0.0019722858811795
"TRAPPC12",0.00395148778370032
"SLC25A38",0.000106438351776206
"WHSC1L1",0.0159877543400848
"PLAGL2",0.00793773787101136
"MYD88",0.00270288545367438
"HLX",0.0032496496905354
"HSH2D",0.0108825423829747
"PPIAL4A",-0.00570402486884396
"IL1RAPL1",0
"SLC38A4",0.0145484992667108
"ZNF281",0.00505855432936661
"DCP2",0.00623829810008515
"LSM11",-0.00260380734849073
"ERRFI1",0.0063058034776203
"PRH2",-0.00177318790226958
"AGTRAP",-0.00165798123275598
"SPRR1B",0
"C3orf71",-0.00689960855563931
"PHF13",0.000174526013551132
"PITPNC1",0.0101641826676009
"KRT10",0.00809328597287449
"CXorf26",0.0129812145907313
"LOC149373",0
"FABP5",0.00204440754960218
"MMP23B",-0.00105577979682754
"DLX2",0.00433110294306531
"FGD1",-0.00214388662390364
"APBB1",0.00116234787747856
"LEAP2",-0.00074885269241858
"GLO1",0.00263252547702424
"RGS14",0.000931526766474642
"GABRB3",-0.00168618892559784
"LAMP2",0.00874443705593073
"NCL",0.00924212169700195
"RCSD1",0
"TTC28",0.0215131325893804
"HNRNPH3",0.00336142859888482
"RUSC2",0.00405739935300799
"POLR3GL",0.0191762610499073
"RAF1",0.00835496417872129
"UBXN4",0.00499922755073425
"OVOL1",0
"SYS1",0.00327709187556693
"FAM108C1",0.00591022905560155
"GPC6",-0.0056667042425223
"RUFY3",-0.0126132244210911
"SPTSSB",0
"WIPF3",-0.00738802654099407
"ANG",-0.00173655193147403
"ARHGAP24",-0.00394331615647399
"NFE2L3",-0.0049778364066618
"C9orf91",-0.00824519731657927
"DEGS1",0.0129713063888373
"MEN1",-0.00222752645000788
"HTR3D",0
"COIL",0.00597740400829638
"TMEM116",-0.00439602928363711
"TAAR1",0
"ZNF3",0.00158029048636041
"HCRT",0.00156263799347511
"C20orf173",0
"ICAM2",0
"CXCR6",-0.001591010973525
"GJD4",-0.0130665136074657
"SLC26A10",-0.000501500168765783
"FBXW10",0
"SLC36A1",0.0006372804404984
"HSD17B2",0.00565565583364319
"PCDHB9",-0.0167074311781307
"HIST1H2BF",-0.00257753567308611
"STOX1",0
"C14orf129",-0.000550689140708198
"DSG3",0.00420904466229134
"SPERT",0
"KDELR1",0.000719616872179577
"PCDHB6",0
"KPNA2",0.00347887114969298
"ZNF705D",-0.00507358512295349
"AEBP2",0.00416731827149466
"PTTG2",0
"RAB32",0.013210606473406
"ITGA2B",0
"CDHR4",0
"ARID5B",0.00948333343881129
"RFC2",-0.00239199419736592
"ZFP1",0.00276046139002734
"SLC5A9",-0.000665943672224091
"PKP3",-0.00247051978823333
"IRS2",0.00243405104365464
"ATP12A",0
"MUL1",0.0160300442414583
"ODF3L1",0.000259473153919726
"CPA6",0
"JAM2",0.00657394606296597
"GAGE4",0
"KATNB1",-0.00239869343719676
"AUH",-0.00517980825841147
"ZNF226",0.0130727759996289
"AP4M1",-0.00154195635291042
"TMEM130",-0.00366997961642644
"ATP6V1B2",0.0198526152724533
"AGBL3",-0.00295051346756479
"RCOR3",-0.00599151564898522
"ZBTB25",-0.00410557095109584
"HPCAL4",0
"RPL27",0.0289661408740919
"PLEKHJ1",0.00353915479430145
"ADH5",0.0116362585315033
"COL4A6",0
"CCT5",0.00394573227605208
"SPRYD7",0.0136372762883143
"TSTD1",0
"SH3GL1",-0.000775432744811333
"MRPS24",0.00999502720367088
"TLR3",0.00603401129593059
"FAM180A",-0.00564331925299106
"SLCO1A2",-0.00461091199469458
"UGT2B7",0
"CD300LG",-0.00608285632959851
"ARL13A",-0.00404387843843043
"VASP",0.00924418938940925
"GPSM3",5.21239980610783e-05
"EFNA4",0.00168152467801859
"KCNA6",0
"CHMP4A",0.017417642068162
"NEK3",0.00733486660630906
"RNF41",0.0170595505341572
"MTHFD2",-0.00203670242353649
"CT47A6",0
"COX6C",0.0259168421606346
"KIAA1683",-0.00366244490916952
"FAM82A1",-0.00401920947451081
"G6PD",-0.00520051241044861
"OR4K5",0
"UBE3B",-0.0044244827345465
"PPARA",-0.00227411627629183
"PRKCQ",0
"CKS2",0.00252153149937808
"ARHGAP44",-0.000317295455736581
"ACTR8",0.00883828606159569
"C20orf79",0
"GRAMD2",0.000259473153919726
"SEPSECS",-0.00220769844950364
"ANXA4",0.00287835533834964
"MRPS15",0.00665928783731338
"ITGA10",0
"JKAMP",0.0110342037002383
"PRR5",-0.00517125469765733
"ASNA1",0.00648751055356816
"FBXO28",0.000118532434920278
"LRRTM2",-0.00962474197868927
"AARS",-0.00168319880909734
"FOSL1",0.0230602754457479
"PKHD1",-0.00027637820453023
"CCL23",0
"TMEM229A",0
"ART5",0
"LOC646851",-0.0278142618762989
"DPY19L3",-0.00529040153860601
"NT5C1B",0
"LDLRAD3",-0.00149350551264742
"ABHD10",0.00312180077153046
"STAMBP",0.00695850507520533
"ALKBH8",0.00379988119897578
"RNF166",5.33968840981419e-05
"ZNF835",-0.0196597539923508
"EPX",0
"GOLT1B",0.00410267980813814
"CPA5",0
"PPFIA3",0.0002589987168182
"KRT40",0
"GRIK3",0
"NXF2",0
"JAK1",0.00800318408614358
"CTXN3",0
"DGCR14",0.000691771166938958
"PPIF",0.00124106899235715
"DHRS7B",-0.000603901138417194
"TPTE",-0.00242364582463486
"FOXD2",-0.000634039220739611
"RNF187",-0.000577190200679611
"OPN1MW",0
"MON1B",-0.000233503172111708
"CYTIP",0
"P2RY10",0
"OR13G1",0
"COQ6",0.0189916667069844
"GULP1",-0.0020156495118268
"C4orf46",0.00152938224424577
"ZDHHC23",-0.00385622402662957
"PDE4B",-0.00437542960025591
"GDI2",0.00324620749682276
"LAMA5",-0.00664280691756716
"NFAT5",-0.000739482817785992
"RNMT",-0.00296825061422235
"OBP2B",0
"SLC39A8",-0.00229586344818323
"ODZ2",0.00422438129329934
"MARCH11",0
"MSL3",0.013035916827998
"TUBB2B",-0.000414775833780106
"INSR",-0.00614579310807022
"ZMYND11",0.00141986170195889
"HNRNPA0",0.000384741206788502
"C19orf70",0.00817902045553713
"PCNP",0.00355986827369037
"ANKRD23",-0.00393347826826865
"PDX1",0
"CLCN2",0.00112367078957684
"C1orf192",-0.0012655946929176
"ACSM2A",-0.00233272662320577
"SEMA4D",-0.00143724545884872
"WDFY3",-0.0027469394955474
"IL36B",0
"GOLGA8B",0.00204134967198884
"CBX5",0.00490252885854855
"KPNA7",0
"RAPGEF4",0
"SLC25A37",-0.00508663298946808
"NXT2",-0.0061266835027175
"PTGER3",-0.00452191300229433
"GMDS",0.000282619560790844
"TMEM51",0.00664690860096805
"HGSNAT",-0.00332701966786786
"GIMAP8",-0.00192235401372216
"ASCC1",-0.00290882244318167
"INPP5A",-0.00393525805663926
"ANTXR2",0.0132793545034111
"SLC2A14",-0.000768339911868796
"FAM48B2",0
"PTH2R",0
"FAM209A",-0.00189046876815844
"RPS6KA2",0.0125591721376211
"STAMBPL1",-0.000564909386219959
"NEK8",-0.00527439760273204
"KLK7",-0.00792025555390028
"C8orf76",-0.00171588097648724
"NDUFA7",0.00574617144843181
"FGF21",0
"SCAND1",0.00726975249575082
"MAP3K4",0.0202679933122436
"MAPRE1",0.00542759087461748
"PRAM1",0
"TBC1D16",-0.00216172876631513
"MAP9",0.00556181431901118
"SLC25A3",0.0101266651274898
"CWF19L2",-0.00275840796011053
"TMEM9",0.0144214725359447
"FLRT1",-0.000358168550163299
"GYLTL1B",0
"GPM6B",-0.00692131622636449
"GJC3",-0.0022689381275604
"SKP1",0.0191928529442781
"LCE3A",0
"P2RX6",-0.00169747149964066
"CNBP",0.0133865028220417
"TROAP",-0.00168503081589835
"SLC23A2",-0.00166845102107353
"RPL31",0.0120352282208091
"CCNH",0.00577303975894304
"PRSS55",0
"ACBD3",0.00937984652170156
"CTAGE15P",0.00194183304729544
"CDCP2",0
"PRDM10",-0.00018921379436294
"SYNJ2BP-COX16",0.00989713828645658
"EBF4",0.000259473153919726
"ZNF707",-0.0130996487051609
"TMEM41A",0.00799339868919441
"TEKT3",-0.000456018952712364
"TNXB",-0.00488043954358047
"ARID4A",-0.00539223211992926
"EIF4B",0.0131507268658087
"TARBP1",-0.00667848999644912
"GABRA2",-0.00055782006136871
"MMP15",0.000745062200475837
"IL12A",-0.000196396892680336
"NANOG",-0.0118093206097724
"ARL10",-0.00264443990018408
"PAPOLG",-0.00177413755182513
"UGT2B17",0
"PIGF",0.00795263471030223
"TNNC2",-0.000812925838271479
"CCDC86",-0.000779355332720132
"SDK2",0.0042399250109093
"GTF2IRD2B",-0.0035383626029709
"GPR110",-0.00599353071084055
"C5orf24",0.00715914486752786
"SNX3",0.0187997246631328
"C1orf111",0
"SNX2",0.0142894331311473
"KCNE3",-0.0132326581708199
"ENTPD6",-0.00280738541627274
"ZNF549",-0.00443595839910887
"OR4A15",0
"HNRNPK",0.00523169425182886
"GSTA1",0
"SRGAP3",0
"ST3GAL6",-0.00111005928996988
"PATE3",0
"IL13",0
"ZNF583",-0.0114923989099186
"MID2",-0.00601341684575649
"ODZ1",0
"MSANTD1",0
"CNEP1R1",0.00429422943805917
"C4orf45",-0.00158553396887683
"CLRN2",0
"TNRC6A",-0.00500455608570146
"ARIH2",-0.00232055084532486
"FAM213B",0.0038211676149042
"ATP1B4",-0.0232243809785257
"NR0B2",0
"DCAF16",-0.00489249886382234
"SEPW1",0.0126006952962531
"GPX6",0
"GNAT2",0.00146532081776718
"SPATA17",-0.00445775107587387
"THRB",-0.00755363702892607
"TAPBP",-0.0109248959549277
"CHMP3",0.00977372918533674
"KRTAP20-3",0
"PHF1",-0.00193650936403452
"RNF128",0.00186783272951576
"VCPIP1",0.00578264714034461
"TXNDC2",0
"C19orf76",-0.00111005928996988
"DERL1",0.0209107626584593
"CXCL6",0.000966568907313593
"ENAH",0.016978672644243
"KRT23",0
"ARL5B",0.0147464677825978
"PHC3",-0.00217940390710927
"CECR6",-0.000665943672224091
"MIER3",0.0107773691073656
"DOK6",-0.00392588388966417
"SIT1",0
"TMEM110",0.000786719298832063
"PLVAP",0
"PROM1",0
"C5orf46",0
"SLC29A2",0.000329604318411466
"TNFRSF21",-0.00580503396662453
"PPP1CB",0.00846278328348444
"SPATA6",-0.00311134616726991
"IQCF5",0
"USP19",-0.00729559795249752
"EXOC3L4",0
"PNPO",8.03214483446584e-05
"C16orf59",-0.00291508389296771
"ZNF718",-0.00400353183722692
"VN1R1",0.00596273255317576
"KBTBD8",-0.000357171102925548
"SUPT4H1",0.000678855866476557
"PALM3",0
"FAM171B",0.000444728741646088
"WDR27",-0.00185798803447061
"JAK2",-0.00161877827019791
"F8A2",0
"SYDE2",0.0013901726957566
"FAM101A",0
"SMEK1",0.00756758211754378
"C2orf63",-0.0018527647532866
"HNRNPA1L2",-0.000220461903164641
"NR4A2",0.00404258971277369
"EIF1AY",0.00837416098939461
"GJB7",-0.00765880033335322
"TAS2R38",0
"GSPT2",-0.00482460325167365
"CCDC51",-0.000257657401344521
"C16orf57",0.0104381819568608
"STC2",0.00193946506344608
"ACTR1B",-0.00130208081442517
"SLC7A3",0
"PMFBP1",0
"NPR2",-0.00331355063940951
"SEC24A",-0.00151326378239722
"PFN2",0.00624444941216809
"CACNA1S",0
"CAPZA2",0.016414050109283
"FBLN2",-0.0108543301259889
"SMARCB1",0.0122245231247204
"PHC2",-0.0039015448371909
"MEX3D",-0.00431108507700246
"MAP7D1",0.0112493496874251
"TNFRSF10B",0.0188622003465586
"KCNT1",0
"SMARCA4",0.00054166336842754
"IFNAR2",0.00361493396621786
"ASB17",0
"HGF",0.000218635225218902
"STON1-GTF2A1L",-0.00667729548976387
"MTM1",0.0102605215513362
"VCY",0
"BAX",0.00504491289760996
"PLCG1",0.0066034646901107
"STARD3",0.011347040337043
"BTBD6",0.000747123455120922
"ZNF674",-0.00882385064935126
"ZNF575",-0.00114258958213684
"LOC649330",-0.00258204941963453
"UBLCP1",0.00153163824238267
"DPP10",-0.00168618892559784
"KLHL38",-0.00728095197676116
"ACTL6A",0.00427625440813245
"KRCC1",0.0119001244481208
"WNT7A",0
"PELI2",0.00135186552063448
"RNF123",-0.00527492813735494
"RLF",-0.00319181562735989
"NQO2",-0.00599081219842604
"C11orf95",0.00392109068147524
"KLRD1",-0.0223580965761688
"PKIG",0.0111740843853799
"DZIP1L",-0.00428791765764676
"DRD3",0
"ACBD7",-0.0139702924645419
"METTL11A",-0.00236851940774782
"HYLS1",-0.00426936342541307
"PXDC1",-0.00494614675001494
"MT1G",0.0132971027996808
"ADAD2",0
"SLC6A18",0
"TMEM208",0.0130000210317036
"BRPF3",-0.00409064577037407
"IRF2BP2",-0.00879999311833419
"NKD1",-0.0152013483407895
"ESYT2",0.0161326384702465
"TBC1D5",0.0123923870696571
"GLB1L2",0
"LINGO4",0
"GHSR",-0.00643442684091653
"IFI35",-0.00242865961834537
"OR6A2",0
"H2AFZ",0.00880804178589843
"DCAF13",0.0122159892545003
"NAPA",0.00265897900592627
"FCGR1A",0
"SNX10",0
"CCBP2",-0.0220210923925865
"CHP",0.00643950967096015
"LDHAL6A",-0.0171315718912041
"PLOD2",0.023831269792561
"FAM21A",0.00707887450143903
"HNRNPUL1",0.00376636098091193
"PRSS16",0
"BCL2L11",-0.0033608749890896
"IZUMO4",-0.00613740920629643
"BICC1",0.00177423945480038
"TBL3",-0.00160020726076935
"DDX51",-0.00772673726883903
"RIN1",0.00323346803969359
"ZNF841",0.00633226373726
"EDAR",0
"PLXNB3",-0.00101788129968565
"ASPM",0.000826509274537551
"CYTH4",0.0003803768114206
"OXA1L",-0.00267521086478094
"TAF7",0.00729792655920015
"SLC13A4",-0.00555376049804421
"TPM2",0.0169902214326732
"C12orf26",-0.00459458558940975
"CUL1",-0.00647611347863101
"DEFB1",0
"POLR2J",0.00926349926351561
"CXorf40B",0.0113077211975865
"CD63",0.00279220824841796
"FAM13B",-2.30271018505647e-05
"RBM34",-0.00114669085511268
"POC1B",0.000485132946976343
"SLC38A5",-0.00650858840407032
"KIAA1109",0.00109653212561662
"ELP3",0.0021911709544213
"COX6B2",-0.0233404657634929
"TUBD1",0.0135701111699737
"ZBED6",0.0054737662052369
"NT5DC2",0.0166811852021142
"AZU1",0
"APOL6",-0.00285288380026779
"PDDC1",-0.0245161040828664
"ARHGAP22",-0.00292721655974035
"KIAA1407",-0.0018751806977229
"C1orf100",0.00010198257055269
"KLF10",0.0089548615194688
"OR2A25",-0.00332924969311772
"OR6K2",0
"HHAT",-0.00178264135726078
"DAZ1",0
"LILRB5",0
"CCHCR1",-0.0014148119595454
"MORN4",-0.00370911580295841
"NIN",-0.00342753771389793
"CCNB3",-0.0016923077540975
"SOX6",-0.00335496295817945
"RPL39L",-0.00446476590168982
"MIS12",0.0081109334192524
"KDM4D",-0.00129411170925304
"TRAM1L1",0.000256626520669422
"CSNK2A1P",-0.000744714459251026
"MFSD4",-0.0173749881288879
"SH3BP2",-0.0149356094144541
"JAKMIP2",0
"MARK4",-0.00184287180466746
"HTN3",0
"PLSCR2",-0.0022691060195971
"SUGP1",0.00058087882925488
"FAT3",-0.0150895192558133
"AGPAT5",0.00981296926447252
"DDX18",0.0098757410016779
"BNC1",-0.00111147963841706
"HTR1A",0
"FAM53A",0.00148936631088862
"TNFAIP8",-0.00274841599943987
"TM6SF1",-0.00248109776782399
"CHD4",0.000243393783492709
"SLC22A31",0
"FTH1",0.012982848533342
"PTPRM",-0.00125676464830477
"MEF2C",-0.007234625167704
"KRTAP4-11",0
"SYNPO2",-0.0024098611422399
"RPL3",0.0020211608402383
"C19orf75",0
"DAB1",-0.000876338776785047
"OR2T1",0
"ATP2C2",-0.0030030609320326
"EYS",0.00247000881946545
"GABRA1",0
"SH3BP1",0.0185033723570607
"OR6C70",0
"RBP4",0
"SPTSSA",-0.0021599845410866
"PNISR",-0.0115584623229733
"CHIC1",-0.00334902423229803
"MYBL1",0.00420709906902346
"NPFF",0.00138420607989259
"RPS23",0.0251812979155522
"PNCK",0
"C10orf57",0.00781979854868683
"MSX2",0.00738007463623025
"ZNFX1",0.00370620846561139
"CAMSAP3",0
"CREB3L2",0.013741010095285
"ISM2",0
"KLRK1",-0.000805430308444764
"DMXL1",-0.00225629775941275
"ITFG1",0.00687279315982362
"GABRR2",0
"PDE12",0.0149169288558332
"WIPF1",0.00771802222726692
"OR2Y1",0
"BSPRY",0.00106808643242098
"GRM2",0
"ALDH9A1",0.00204739808443021
"OMD",-0.00524936032813563
"FAM123A",0
"ROBO2",0
"OBFC1",0.00431744884080089
"RPS6",0.0254811659334041
"ARL9",0.0176870586505919
"UBP1",-0.000652195377448396
"ZWINT",0.00307069700452827
"SERPINI2",0
"POLR1C",-0.000477922681283873
"ARL15",0.0100989660640206
"CEBPE",0
"LIPM",0
"SSH3",-0.00414261605567147
"PPP1R10",0.00401932108265574
"SERINC2",-0.00356657985724918
"PCDHA9",-0.0240563473211949
"TRIM62",-0.00298022072403268
"PRPF38B",0.0023525724295772
"FAP",0.0137553255657238
"DLX4",0
"CENPL",-0.00938974149208369
"MYOM1",0.00608932530880819
"APOL4",-0.0117309932290606
"TACC2",-0.000347054007786956
"ZNF195",-0.000147698551428592
"ATP8B1",0.00680526624870353
"ZNF84",-0.00680107178845559
"EPHA2",0.00424643789688339
"ACPL2",-0.00298994061037996
"DHX36",0.00170884636272425
"TUBB1",-0.000975437256189615
"CXorf27",0
"ADPGK",0.00509530672697199
"C1orf162",0
"EEF1D",0.0191487106701926
"PARP3",0.00484115400788628
"TSN",0.000381384714843377
"C4orf22",-0.00183921795397926
"TBL1Y",0
"NBPF7",0.0105483062541251
"APEX1",-0.00205359282291686
"FNDC1",-0.00791267773570616
"TPST1",0.0028120956587752
"CIC",0.000710227296065557
"PPP4C",0.00295088056169694
"NKG7",0
"TEAD1",0.0125396763042076
"CTH",-0.00183780738227982
"RPS6KB2",-0.00341790349098541
"RBPJ",0.00107726248619128
"RUNX1",-0.00487534653899709
"SMARCC2",0.0113697314895235
"ANAPC2",-0.00167441413906129
"BHMT2",-0.00368488359558993
"APOPT1",-0.0109997974201408
"HIST1H4E",-0.00115435097539905
"C11orf88",-0.00626248780068449
"RPS11",0.0209942044793388
"AVPI1",0.0109768306127834
"GDNF",-0.010898621627085
"THRAP3",0.0040886906383907
"CHRM2",-0.00262928247128336
"KRTAP10-4",0
"USP3",-0.000420437777321051
"RORC",0
"IKZF2",-0.00747583046241156
"LOC100329135",0
"HDAC10",-0.00248108142611834
"PTCRA",0
"EXD2",0.000637803451706612
"GDF2",0
"IDH3G",-0.00196531103715043
"IMPAD1",0.00195815010394878
"CALHM2",0.012365699706599
"SMOC1",0
"ARL17A",-0.00993272453963958
"NHP2",0.0123806181221493
"BSG",-0.00341011889853182
"PTHLH",-0.00111005928996988
"CYP20A1",-0.00976158146754858
"DNAJC12",-0.00144052530276588
"TXLNA",0.00995594157024592
"GLUD1",0.00383507380719548
"FRA10AC1",-0.00230943670128921
"OAZ3",0.0133984845433437
"C1QTNF9",-0.0177929589356247
"SCO1",0.0185103474710911
"LOC100130705",0.00254359419046609
"RPS4X",0.00737896985688004
"RCE1",-0.00224244930652715
"COL18A1",-0.00372352997504869
"SF3B14",0.0113627649194411
"UBN1",-0.00427364560798547
"KRTAP9-9",-0.00168618892559784
"MCART6",-0.00934903575754159
"HIST2H3D",-0.00133508784841355
"RD3",-0.0126726124070125
"KLF1",0.00096172582381379
"ADAMTS18",0
"SERPINB6",0.00606992689288062
"SEPT14",0.000109726259572885
"DOK5",-0.00529747213576437
"MIS18BP1",-0.00262337867600144
"NRXN1",-0.00156502671419875
"C1orf141",-0.0105294791015052
"HSPE1-MOB4",0.00297766122469726
"CNTRL",0.00553589141733689
"MCM5",-0.00158043538437035
"OGFOD1",0.00943101646432803
"GPR61",0
"MRPL54",0.0022941930968584
"UBE2D2",-0.0019507589283732
"BLNK",-0.0071157446177961
"C6orf57",0.0109104784989021
"LONRF3",0
"IFIT1B",-0.000381252580312949
"ALG9",-0.00808994877595452
"ZNF664-FAM101A",0
"PDK3",-0.0101474639142494
"ZNF93",-0.00105403388392062
"PLK4",0.000956991976327132
"ALDH16A1",0.0018554699851526
"NTRK3",0
"AKT1S1",0.0206431896336342
"LTA4H",0.00278442547676545
"SFRP4",-0.00570939685650529
"SRY",0
"FLJ22184",0
"MPP4",-0.00318603277632507
"RPN2",0.00409789570430812
"RPP14",-0.00262255569122204
"PCDH18",0.0102181061992447
"HPGDS",-0.00268809100426878
"ZNF99",-0.00587661988714804
"PAK4",0.00411671201892769
"SRPK3",-0.00168618892559784
"AKD1",-0.00470616230814315
"PER3",0.00301732445488456
"NUP133",-0.00657516196767242
"C21orf56",-0.000785445585447216
"NUPL2",0.00566345893612767
"ACVRL1",-0.00539675593799018
"NBN",0.0150063616899828
"PATZ1",0.00573144757281687
"RASL10B",-0.00284101461274441
"PRSS8",0
"LYPD4",0
"MMP24",0.0202686737849781
"ZNF114",-0.00371110209307262
"GAS2L1",0.00281323563171565
"SMAD1",0.00167580947772149
"HSD17B11",0.014342628239538
"XPOT",-0.00243611148123416
"COX4I2",0
"RDH12",-0.00238141551070024
"PCDHB15",-0.000737792817623491
"UBE2W",0.00284464265873461
"LRRN4",0
"TDGF1",-0.0133548266688992
"MORC3",-0.00110963686066701
"DYRK3",-0.00430465478419579
"GSTZ1",8.07414780995626e-05
"ARHGAP28",0.00309440914424715
"SUFU",0.0167306608967856
"PSG3",0.00307646519527973
"MIA3",0.00418008839074993
"MEPE",0
"CLCN6",-0.00438895589441572
"GNPAT",0.00457614963793057
"PTGER1",-0.00179337302175632
"PPID",-0.00442015136558765
"DRAM1",0.00528419188596739
"ARHGAP42",-0.00388865254940414
"SPINK8",0
"GRHL3",0
"ACRV1",0
"CTTNBP2NL",0.016923396142303
"HDAC11",-0.00318617093022095
"OR13F1",0
"ZDHHC18",0.0176765263566306
"RRP8",-0.00200042155853767
"HIST1H3B",-0.00343330059793159
"FAT2",-0.00311814758103051
"C20orf3",0.00134071359112358
"KDM5A",0.00658805829157915
"SLC3A2",0.00212156793645607
"ATP13A4",0
"MYL12B",0.0140599484818883
"DPCR1",0
"MARCH8",0.00822589689969963
"SNX33",0.000655395461794356
"NOMO2",-0.000802879290389796
"BMP8A",-0.017345650484793
"CCDC25",0.00767348247062568
"GABRA3",0.00169586430026336
"ATP2A1",0.000565502737264206
"COX17",0.00484952671229615
"GZF1",0.00448187369938649
"ECI2",0.0185604851843801
"RHOBTB2",0.00518121635096785
"FAM104B",0.000841504327317588
"REN",0
"LMX1A",0
"BAZ2B",-0.00991512795032962
"CEBPA",-0.000164275744779396
"LPCAT4",0.00171654271390428
"ITPRIPL2",0.00350539821862494
"PJA2",0.00334782251914472
"NIPAL2",-0.00445842706229561
"ALPK2",6.81124189331425e-05
"DHX58",-0.00541775402734761
"NUPR1",-0.00735598832905651
"GPR62",0
"PSAP",-0.00677851633783431
"BAMBI",0.00913413405505719
"KLF9",-0.00825150426907155
"ZNF259",-0.005065142322293
"HIPK4",0
"HES4",-0.00791117786026776
"ZC3H8",-0.0046294155580303
"SQRDL",0.00579994952756071
"CFI",0.00446736902999099
"SMCHD1",-0.00316086553596513
"ADAMTSL5",-0.011084754749768
"OR6Q1",0
"DUSP26",0
"LRIF1",-0.00529802399747671
