GeneName  Indicator
KATNB1 0
AUH 0
ZNF226 1
AP4M1 0
TMEM130 0
ATP6V1B2 1
AGBL3 0
RCOR3 0
ZBTB25 0
HPCAL4 0
RPL27 1
PLEKHJ1 1
ADH5 1
COL4A6 0
CCT5 1
SPRYD7 1
TSTD1 0
SH3GL1 0
MRPS24 1
TLR3 1
FAM180A 0
SLCO1A2 0
UGT2B7 0
CD300LG 0
ARL13A 0
VASP 1
GPSM3 0
EFNA4 1
KCNA6 0
CHMP4A 1
NEK3 1
RNF41 1
MTHFD2 0
CT47A6 0
COX6C 1
KIAA1683 0
FAM82A1 0
G6PD 0
OR4K5 0
UBE3B 0
PPARA 0
PRKCQ 0
CKS2 1
ARHGAP44 0
ACTR8 1
C20orf79 0
GRAMD2 0
SEPSECS 0
ANXA4 1
MRPS15 1
ITGA10 0
JKAMP 1
PRR5 0
ASNA1 1
FBXO28 0
LRRTM2 0
AARS 0
FOSL1 1
PKHD1 0
CCL23 0
TMEM229A 0
ART5 0
LOC646851 0
DPY19L3 0
NT5C1B 0
LDLRAD3 0
ABHD10 1
STAMBP 1
ALKBH8 1
RNF166 0
ZNF835 0
EPX 0
GOLT1B 1
CPA5 0
PPFIA3 0
KRT40 0
GRIK3 0
NXF2 0
JAK1 1
CTXN3 0
DGCR14 1
PPIF 1
DHRS7B 0
TPTE 0
FOXD2 0
RNF187 0
OPN1MW 0
MON1B 0
CYTIP 0
P2RY10 0
OR13G1 0
COQ6 1
GULP1 0
C4orf46 1
ZDHHC23 0
PDE4B 0
GDI2 1
LAMA5 0
NFAT5 0
RNMT 0
OBP2B 0
SLC39A8 0
ODZ2 1
MARCH11 0
MSL3 1
TUBB2B 0
INSR 0
ZMYND11 1
HNRNPA0 0
C19orf70 1
PCNP 1
ANKRD23 0
PDX1 0
CLCN2 1
C1orf192 0
ACSM2A 0
SEMA4D 0
WDFY3 0
IL36B 0
GOLGA8B 1
CBX5 1
KPNA7 0
RAPGEF4 0
SLC25A37 0
NXT2 0
PTGER3 0
GMDS 0
TMEM51 1
HGSNAT 0
GIMAP8 0
ASCC1 0
INPP5A 0
ANTXR2 1
SLC2A14 0
FAM48B2 0
PTH2R 0
FAM209A 0
RPS6KA2 1
STAMBPL1 0
NEK8 0
KLK7 0
C8orf76 0
NDUFA7 1
FGF21 0
SCAND1 1
MAP3K4 1
MAPRE1 1
PRAM1 0
TBC1D16 0
MAP9 1
SLC25A3 1
CWF19L2 0
TMEM9 1
FLRT1 0
GYLTL1B 0
GPM6B 0
GJC3 0
SKP1 1
LCE3A 0
P2RX6 0
CNBP 1
TROAP 0
SLC23A2 0
RPL31 1
CCNH 1
PRSS55 0
ACBD3 1
CTAGE15P 1
CDCP2 0
PRDM10 0
SYNJ2BP-COX16 1
EBF4 0
ZNF707 0
TMEM41A 1
TEKT3 0
TNXB 0
ARID4A 0
EIF4B 1
TARBP1 0
GABRA2 0
MMP15 1
IL12A 0
NANOG 0
ARL10 0
PAPOLG 0
UGT2B17 0
PIGF 1
TNNC2 0
CCDC86 0
SDK2 1
GTF2IRD2B 0
GPR110 0
C5orf24 1
SNX3 1
C1orf111 0
SNX2 1
KCNE3 0
ENTPD6 0
ZNF549 0
OR4A15 0
HNRNPK 1
GSTA1 0
SRGAP3 0
ST3GAL6 0
PATE3 0
IL13 0
ZNF583 0
MID2 0
ODZ1 0
MSANTD1 0
CNEP1R1 1
C4orf45 0
CLRN2 0
TNRC6A 0
ARIH2 0
FAM213B 1
ATP1B4 0
NR0B2 0
DCAF16 0
SEPW1 1
GPX6 0
GNAT2 1
SPATA17 0
THRB 0
TAPBP 0
CHMP3 1
KRTAP20-3 0
PHF1 0
RNF128 1
VCPIP1 1
TXNDC2 0
C19orf76 0
DERL1 1
CXCL6 1
ENAH 1
KRT23 0
ARL5B 1
PHC3 0
CECR6 0
MIER3 1
DOK6 0
SIT1 0
TMEM110 1
PLVAP 0
PROM1 0
C5orf46 0
SLC29A2 0
TNFRSF21 0
PPP1CB 1
SPATA6 0
IQCF5 0
USP19 0
EXOC3L4 0
PNPO 0
C16orf59 0
ZNF718 0
VN1R1 1
KBTBD8 0
SUPT4H1 1
PALM3 0
FAM171B 0
WDR27 0
JAK2 0
F8A2 0
SYDE2 1
FAM101A 0
SMEK1 1
C2orf63 0
HNRNPA1L2 0
NR4A2 1
EIF1AY 1
GJB7 0
TAS2R38 0
GSPT2 0
CCDC51 0
C16orf57 1
STC2 1
ACTR1B 0
SLC7A3 0
PMFBP1 0
NPR2 0
SEC24A 0
PFN2 1
CACNA1S 0
CAPZA2 1
FBLN2 0
SMARCB1 1
PHC2 0
MEX3D 0
MAP7D1 1
TNFRSF10B 1
KCNT1 0
SMARCA4 1
IFNAR2 1
ASB17 0
HGF 0
STON1-GTF2A1L 0
MTM1 1
VCY 0
BAX 1
PLCG1 1
STARD3 1
BTBD6 1
ZNF674 0
ZNF575 0
LOC649330 0
UBLCP1 1
DPP10 0
KLHL38 0
ACTL6A 1
KRCC1 1
WNT7A 0
PELI2 1
RNF123 0
RLF 0
NQO2 0
C11orf95 1
KLRD1 0
PKIG 1
DZIP1L 0
DRD3 0
ACBD7 0
METTL11A 0
HYLS1 0
PXDC1 0
MT1G 1
ADAD2 0
SLC6A18 0
TMEM208 1
BRPF3 0
IRF2BP2 0
NKD1 0
ESYT2 1
TBC1D5 1
GLB1L2 0
LINGO4 0
GHSR 0
IFI35 0
OR6A2 0
H2AFZ 1
DCAF13 1
NAPA 1
FCGR1A 0
SNX10 0
CCBP2 0
CHP 1
LDHAL6A 0
PLOD2 1
FAM21A 1
HNRNPUL1 1
PRSS16 0
BCL2L11 0
IZUMO4 0
BICC1 1
TBL3 0
DDX51 0
RIN1 1
ZNF841 1
EDAR 0
PLXNB3 0
ASPM 1
CYTH4 0
OXA1L 0
TAF7 1
SLC13A4 0
TPM2 1
C12orf26 0
CUL1 0
DEFB1 0
POLR2J 1
CXorf40B 1
CD63 1
FAM13B 0
RBM34 0
POC1B 0
SLC38A5 0
KIAA1109 1
ELP3 1
COX6B2 0
TUBD1 1
ZBED6 1
NT5DC2 1
AZU1 0
APOL6 0
PDDC1 0
ARHGAP22 0
KIAA1407 0
C1orf100 0
KLF10 1
OR2A25 0
OR6K2 0
HHAT 0
DAZ1 0
LILRB5 0
CCHCR1 0
MORN4 0
NIN 0
CCNB3 0
SOX6 0
RPL39L 0
MIS12 1
KDM4D 0
TRAM1L1 0
CSNK2A1P 0
MFSD4 0
SH3BP2 0
JAKMIP2 0
MARK4 0
HTN3 0
PLSCR2 0
SUGP1 1
FAT3 0
AGPAT5 1
DDX18 1
BNC1 0
HTR1A 0
FAM53A 1
TNFAIP8 0
TM6SF1 0
CHD4 0
SLC22A31 0
FTH1 1
PTPRM 0
MEF2C 0
KRTAP4-11 0
SYNPO2 0
RPL3 1
C19orf75 0
DAB1 0
OR2T1 0
ATP2C2 0
EYS 1
GABRA1 0
SH3BP1 1
OR6C70 0
RBP4 0
SPTSSA 0
PNISR 0
CHIC1 0
MYBL1 1
NPFF 1
RPS23 1
PNCK 0
C10orf57 1
MSX2 1
ZNFX1 1
CAMSAP3 0
CREB3L2 1
ISM2 0
KLRK1 0
DMXL1 0
ITFG1 1
GABRR2 0
PDE12 1
WIPF1 1
OR2Y1 0
BSPRY 1
GRM2 0
ALDH9A1 1
OMD 0
FAM123A 0
ROBO2 0
OBFC1 1
RPS6 1
ARL9 1
UBP1 0
ZWINT 1
SERPINI2 0
POLR1C 0
ARL15 1
CEBPE 0
LIPM 0
SSH3 0
PPP1R10 1
SERINC2 0
PCDHA9 0
TRIM62 0
PRPF38B 1
FAP 1
DLX4 0
CENPL 0
MYOM1 1
APOL4 0
TACC2 0
ZNF195 0
ATP8B1 1
ZNF84 0
EPHA2 1
ACPL2 0
DHX36 1
TUBB1 0
CXorf27 0
ADPGK 1
C1orf162 0
EEF1D 1
PARP3 1
TSN 0
C4orf22 0
TBL1Y 0
NBPF7 1
APEX1 0
FNDC1 0
TPST1 1
CIC 1
PPP4C 1
NKG7 0
TEAD1 1
CTH 0
RPS6KB2 0
RBPJ 1
RUNX1 0
SMARCC2 1
ANAPC2 0
BHMT2 0
APOPT1 0
HIST1H4E 0
C11orf88 0
RPS11 1
AVPI1 1
GDNF 0
THRAP3 1
CHRM2 0
KRTAP10-4 0
USP3 0
RORC 0
IKZF2 0
LOC100329135 0
HDAC10 0
PTCRA 0
EXD2 1
GDF2 0
IDH3G 0
IMPAD1 1
CALHM2 1
SMOC1 0
ARL17A 0
NHP2 1
BSG 0
PTHLH 0
CYP20A1 0
DNAJC12 0
TXLNA 1
GLUD1 1
FRA10AC1 0
OAZ3 1
C1QTNF9 0
SCO1 1
LOC100130705 1
RPS4X 1
RCE1 0
COL18A1 0
SF3B14 1
UBN1 0
KRTAP9-9 0
MCART6 0
HIST2H3D 0
RD3 0
KLF1 1
ADAMTS18 0
SERPINB6 1
SEPT14 0
DOK5 0
MIS18BP1 0
NRXN1 0
C1orf141 0
HSPE1-MOB4 1
CNTRL 1
MCM5 0
OGFOD1 1
GPR61 0
MRPL54 1
UBE2D2 0
BLNK 0
C6orf57 1
LONRF3 0
IFIT1B 0
ALG9 0
ZNF664-FAM101A 0
PDK3 0
ZNF93 0
PLK4 1
ALDH16A1 1
NTRK3 0
AKT1S1 1
LTA4H 1
SFRP4 0
SRY 0
FLJ22184 0
MPP4 0
RPN2 1
RPP14 0
PCDH18 1
HPGDS 0
ZNF99 0
PAK4 1
SRPK3 0
AKD1 0
PER3 1
NUP133 0
C21orf56 0
NUPL2 1
ACVRL1 0
NBN 1
PATZ1 1
RASL10B 0
PRSS8 0
LYPD4 0
MMP24 1
ZNF114 0
GAS2L1 1
SMAD1 1
HSD17B11 1
XPOT 0
COX4I2 0
RDH12 0
PCDHB15 0
UBE2W 1
LRRN4 0
TDGF1 0
MORC3 0
DYRK3 0
GSTZ1 0
ARHGAP28 1
SUFU 1
PSG3 1
MIA3 1
MEPE 0
CLCN6 0
GNPAT 1
PTGER1 0
PPID 0
DRAM1 1
ARHGAP42 0
SPINK8 0
GRHL3 0
ACRV1 0
CTTNBP2NL 1
HDAC11 0
OR13F1 0
ZDHHC18 1
RRP8 0
HIST1H3B 0
FAT2 0
C20orf3 1
KDM5A 1
SLC3A2 1
ATP13A4 0
MYL12B 1
DPCR1 0
MARCH8 1
SNX33 1
NOMO2 0
BMP8A 0
CCDC25 1
GABRA3 1
ATP2A1 1
COX17 1
GZF1 1
ECI2 1
RHOBTB2 1
FAM104B 1
REN 0
LMX1A 0
BAZ2B 0
CEBPA 0
LPCAT4 1
ITPRIPL2 1
PJA2 1
NIPAL2 0
ALPK2 0
DHX58 0
NUPR1 0
GPR62 0
PSAP 0
BAMBI 1
KLF9 0
ZNF259 0
HIPK4 0
HES4 0
ZC3H8 0
SQRDL 1
CFI 1
SMCHD1 0
ADAMTSL5 0
OR6Q1 0
DUSP26 0
LRIF1 0
FHDC1 0
NUDT16L1 0
TNFAIP8L2-SCNM1 0
PI4K2A 0
SFTPA1 0
FAM162B 1
OR56A3 0
SLC15A1 0
FAM3A 0
COL11A1 1
POU3F4 0
TOPBP1 1
TMEM25 1
RGAG1 0
LRRC19 1
MAP3K2 0
CBLL1 0
MAX 1
EME2 0
NDUFB8 1
IL10RB 0
NSUN5 1
PRSS22 0
MBIP 1
SPOCK2 0
NRK 0
RASSF1 0
CCNI 0
OSBPL6 0
ATP7A 0
C4orf27 1
TNFAIP6 1
MCMBP 1
RAD18 0
FAH 1
TNFSF9 0
CSAD 1
SNRPD1 1
PABPN1 0
RASSF6 0
ADRBK1 1
TSPYL1 0
FGFBP2 0
ZNF813 0
AWAT2 0
CELF4 0
POLR1B 1
ZNF41 0
BTBD9 0
FBXL21 0
RPL5 1
ANXA1 1
SOWAHA 0
FLNA 1
MB21D1 0
TTLL11 0
NT5E 1
LOC375190 1
RRN3 1
TMEM168 1
ITGA8 0
PPARGC1A 1
FLOT1 1
ACTL8 0
TNS1 1
C10orf129 1
METTL7B 0
SFMBT2 0
GOSR2 1
PMS2 0
XCL1 0
ECSIT 1
KRTAP1-5 1
PROL1 0
MT1E 1
KCNB1 0
CPSF2 1
TCEB3CL 0
MAMLD1 0
ADD3 1
DCAF15 0
KCNK18 0
ZDHHC11 0
SNAPC2 1
EPB41L3 0
ADRM1 1
NREP 1
PLCXD2 1
DDX47 1
N4BP3 0
FAM114A2 0
RRAGB 1
RABGGTA 1
HEATR3 0
LCORL 0
BHLHA15 0
SH2D4B 0
TMEM160 1
DECR1 1
MGAT1 1
ITM2B 1
KIAA0895L 0
TARS2 0
OVCH1 0
LRP5L 0
WTAP 1
TMEM87B 0
GEMIN4 0
HLTF 0
HESX1 0
HSD17B4 1
PCBP4 1
TTI2 1
MED30 0
TAOK2 1
TSC1 0
MRPL35 1
YIPF5 1
LNX2 0
S100A12 0
ATP9B 0
TIMMDC1 1
MTSS1L 1
C16orf88 0
SYNPO 0
IMPDH1 1
C6orf52 1
SAMD10 0
LYZL1 0
PYDC2 0
ECM2 1
FGF14 0
NEFH 1
H6PD 0
HMSD 1
ORC1 0
TEX14 0
DEFB126 0
NFU1 1
RPL26L1 1
BLCAP 1
TMEM229B 0
ADCY2 0
TNR 0
AQP10 0
ALDH3A1 0
MAGEB1 0
ZBTB7B 0
TCF3 0
EPHA7 0
PPFIA1 1
B3GALT1 0
MORC4 1
PPP1R14D 0
SLC25A35 0
C12orf75 1
ZNF416 0
LIPH 0
TNFSF14 0
SNAP25 0
RNF222 0
SLC26A1 0
BAG4 0
ANGPTL7 0
ST8SIA4 0
ELF1 1
NOD2 0
OR4D1 0
KIAA1468 1
ZNF23 0
FHL3 0
GRINA 0
OPRM1 1
SKP2 0
LSM10 1
APITD1 1
DLGAP1 0
LOC440335 0
CTNNBL1 1
PDPK1 1
TRIT1 0
APCDD1 0
IFIT3 1
C20orf196 0
NEK11 0
CHST7 1
RAP1B 1
CISD3 1
LETM1 1
CPNE1 1
B4GALT5 0
USP2 1
RPS17 1
ACAP2 0
CTSB 0
TDG 1
EIF4EBP1 0
FHIT 0
UBA52 1
SNX20 0
CXCL2 1
SYVN1 0
IKBKE 1
TPT1 1
PCSK1 0
CLVS2 0
IL10 0
SEPT10 1
EEF2 1
TH 0
PSME1 1
HIST1H2BO 0
SIAH2 0
VPS54 0
OR2T6 0
ASB18 0
PRDX3 1
KCNJ15 1
ADAM8 0
NLGN3 0
BRD7 1
HSD11B1 0
ZC3H14 1
ARV1 1
MAPK8IP3 1
STAM2 0
EIF3E 1
TRAF7 1
CYP4F3 0
PRAMEF19 0
ZNF808 1
TMEM194B 1
PCDHB8 0
FANCM 0
RRBP1 1
GRIK2 1
ZNF234 0
PSMD11 1
SETDB1 0
FAM174B 0
TSEN34 1
ZNF124 1
LRRC73 0
FUCA1 1
PPCS 0
UGT2A3 0
SOCS1 0
ILDR1 0
C3orf33 0
GRAP 0
THADA 1
PUS1 0
SLC24A5 0
GNG12 1
BCMO1 0
ZNF479 0
ADRA2B 0
RECK 1
KRTAP2-4 0
KIF19 0
TPST2 1
MT3 0
KIF16B 1
IQSEC3 1
CNTN6 0
AMHR2 0
ARHGAP26 1
GPX2 1
ALDOB 0
GARS 0
NAGA 0
RARRES2 1
HIBCH 1
RDX 1
PLXDC2 0
PIP5K1B 0
HINT3 0
EIF4G2 1
XKR4 0
LOC100129924 0
RIMS1 1
DTX1 0
COX8C 0
KIAA0753 0
FAM161A 0
KIAA1429 1
MOAP1 1
ZZEF1 0
AATK 0
AEN 1
NEDD9 1
C17orf58 1
RIMS2 0
LETM2 0
TRIM49L1 0
CDS2 0
RNASE13 0
BLVRB 1
SSBP2 0
TSR1 1
ADORA2B 1
IL26 0
HELQ 0
PYHIN1 0
NDUFS6 1
MIPEP 1
EME1 0
ZNF613 0
RGS18 0
NME1 1
MAGIX 0
PP2D1 0
PLDN 1
HEATR6 0
IMPDH2 0
TSPY1 0
ZHX1-C8ORF76 1
TAS2R40 0
KIAA0494 1
POP5 0
DISC1 0
CBR4 0
PPM1L 0
HIST1H3F 0
FAM75D4 0
P2RY1 0
SSRP1 0
C19orf69 0
KIF15 0
H2AFB3 0
KIAA0391 1
IDO1 0
ARNT2 0
MYB 0
SLC39A6 1
C3orf18 0
CYTH3 1
ETFDH 1
CARM1 1
ZNF341 1
BTD 0
CUEDC2 1
NPRL2 1
C9orf72 0
KIAA1644 0
MPZL3 1
BEST1 1
PI15 0
FBXO42 1
FAM149B1 1
USH2A 0
NSUN6 0
C10orf62 0
ALPP 0
PIK3CA 1
SOD1 1
NGEF 0
DUOX2 0
FAM210A 0
UNC5B 1
MIB1 0
TRPS1 0
UPF3B 1
MAP3K5 0
TMEM70 0
ZNF720 1
MSANTD4 0
TREX2 0
NR4A3 0
HELZ 0
PAX6 1
FAM48B1 0
LRCH2 0
EMX2 1
FAM199X 0
SRXN1 1
ISOC1 0
TARBP2 0
HIST1H2BB 0
AMOTL1 1
LGI1 0
PHEX 0
BSCL2 1
PLIN2 1
TAS2R42 0
TMEM161B 1
HLA-DPB1 0
RHOT2 1
GNA15 0
ARHGAP40 0
APC2 1
FER 1
MUM1L1 0
OR2L3 0
SIRPB1 0
NNAT 0
GLIPR2 1
MRPS36 0
XKR9 0
NRSN2 1
SIX6 0
LOC646498 0
TRAPPC2 0
LRCH3 0
KIF4A 1
LOC388813 0
SCAMP5 0
LPCAT1 1
MGAT3 0
LRRC4 0
CALCA 0
EDEM1 0
LCA5L 0
ST18 0
UPP2 0
CLDN9 0
MT2A 1
CYP2A7 0
SLC46A3 0
KRTAP21-1 0
SLC14A2 0
RAPGEF6 0
C8orf83 1
FKBP5 0
WNT2B 0
GBA 1
FOXA3 0
CNDP2 0
RNF215 0
CA5A 0
CD36 0
SAA2 0
H2AFY2 0
ARHGAP36 0
FAM160B2 0
GALNTL6 0
RALBP1 1
EFCAB4B 0
LCE1C 0
N6AMT1 1
NISCH 1
BPGM 0
UBXN2B 1
MATN2 0
AURKAIP1 1
RPL14 1
TRIM37 1
PALMD 0
SUMF1 0
WSCD2 0
OR7A5 0
TCF21 0
CDC73 1
ZNF658 0
CD5 0
PPP1R26 1
RNF112 0
KCNJ2 0
FBXO31 0
PPIL4 1
SSTR4 0
NGRN 1
ANKLE1 0
GPBP1 0
SPDYE3 0
RHEBL1 0
SNTG1 0
VIPR1 0
ERCC1 1
ZNF676 0
SYT8 0
KCNF1 0
EPHA1 1
NIPSNAP3A 0
PGM5 0
MRVI1 1
PRRC1 1
LIPJ 0
PER2 1
RFESD 1
LOC728393 0
USP54 1
SLC10A3 1
C6orf118 0
TMEM151A 0
GH1 0
LRRTM1 0
NPHP3 0
ZNF146 1
CD24 0
CYP3A43 0
KRT33A 0
KLC4 0
CYB5D2 0
RAD51D 0
CNPPD1 1
IKZF1 0
HAX1 1
BTN2A1 0
KIF9 1
MRPL12 1
FREM3 0
HES6 0
CRYGC 0
TLE6 0
WISP2 0
ZNF688 0
FRMD8 0
TXNDC5 1
ERMAP 1
KCNN2 0
DPYSL5 0
ANK2 0
CIT 1
CCDC12 1
LRTM1 0
TMEM108 0
MRFAP1L1 1
ADAR 1
ZNF580 0
LOC100288520 0
FTCD 0
SPARC 1
HUS1 0
FZD6 1
C15orf42 0
CD4 0
PZP 0
CELA2A 0
OTUD1 0
USP4 0
GON4L 0
D4S234E 0
USP31 0
ACRBP 0
CBX8 0
LRIT1 0
SAMD1 1
TGOLN2 1
EPHB4 0
GPX1 1
RBMS3 1
PARVB 0
ZNF860 1
NKRF 0
FBXO4 1
TMEM220 0
OTUB1 1
MLLT11 1
SPATA20 0
OR11G2 0
LUZP2 0
FAM65A 1
KRTAP10-1 0
ZNF729 1
FBXO30 1
FOXN2 1
GATAD2A 0
NEUROG2 0
SURF1 1
GTPBP4 1
ZDHHC5 0
DUSP11 1
HAUS5 0
PITRM1 1
ARL2BP 1
TGS1 0
SKAP2 1
PHKG1 1
ZIC2 0
HTR2A 0
SLC1A1 0
RTN4R 0
SLC41A2 1
MPRIP 1
UBE3A 1
OLFML1 1
ADAMTS3 0
ABCC5 0
B3GAT1 0
KIF4B 1
APOC4 0
NDUFB10 1
ETV4 1
HMBS 1
INTS6 0
WIPI1 0
ATAD3B 0
C8ORFK29 0
FAXC 0
RAB12 0
AFAP1L1 0
FAM129C 0
FKBP10 1
LOC120824 0
ZNF436 0
ABCG4 0
EPAS1 1
ZNF671 0
C2 1
KIAA0513 0
RAP1GAP 0
MUSTN1 0
ZKSCAN3 0
IQUB 0
TRIM73 0
SLC16A6 0
FANCF 0
NDUFAF3 1
CDKN1A 1
FASTKD3 0
BCL2L14 0
CALY 0
C11orf67 1
FLJ23152 0
LOX 1
ELTD1 1
SET 1
PRLHR 0
TROVE2 0
SLC25A30 0
TP53RK 0
FAM70A 1
EMID2 0
PRPF3 1
GRM1 0
KPNA5 0
ATAD3C 0
AMN 0
ATE1 1
MEX3B 1
NKX2-1 0
KRTAP5-9 0
ARFGAP1 0
KRTAP19-1 0
G6PC 0
SENP7 0
RNF103-CHMP3 0
ABT1 1
TAS2R10 0
ZPLD1 0
C9orf69 0
PPAP2A 0
GREM1 1
SHCBP1 1
C4A 0
PSMB6 1
PTPN4 1
TMEM54 0
PODXL2 0
ECHDC1 1
PHACTR2 1
FIP1L1 0
SNAPC5 0
TIGIT 0
KIAA0913 1
RAD51C 0
MPHOSPH10 1
RASSF8 0
ARHGEF12 0
PRADC1 0
OR1C1 0
SRSF5 1
POMP 1
TSPAN6 1
KRTAP10-12 0
FANK1 0
CARTPT 0
RAPGEF1 0
OR4K15 0
FXYD6 0
LOC100293534 0
CARKD 1
GAL3ST2 0
CRX 0
PVRL3 1
DAZ2 0
ZMYM3 1
PTCHD2 0
TYW5 0
PTRH1 1
TNFRSF13C 0
FOXF2 1
MTA2 1
PMP22 1
C22orf40 1
WDR41 0
YIPF7 0
ODF3B 1
PIM1 1
FAM113B 1
BTBD17 0
HABP2 0
KCNK12 0
TMEM120B 0
ADCK3 0
TAB3 1
FAM47E 0
FAM35A 0
OR2A4 0
RRP9 0
UBTD2 0
VKORC1 1
GDAP2 1
RGS19 1
LILRA2 0
PVR 0
PGBD4 1
OR2A2 0
DPH2 0
ONECUT3 0
GPR22 0
PPP1R18 1
DNAJB8 0
LCMT2 1
GLYATL1 1
DAK 0
LOC100507050 0
C7orf63 0
MKX 0
MINPP1 1
ITPRIP 1
MYH2 0
TMEM231 1
SAA4 0
CHCHD8 1
ZNF423 0
CCDC76 1
MAGED4B 0
C14orf45 0
KAT7 0
DNTTIP2 0
GTF2H5 1
SLC7A6 1
RNF183 0
TAS1R1 0
IL11 0
PRAMEF17 0
SPTBN2 0
CKAP2 1
GNAI3 1
NCF1 0
C16orf7 1
LILRB1 0
PPL 0
RIF1 1
YAE1D1 1
RAB3IL1 1
PTGES2 0
KIAA1383 0
LOC100505478 0
PWP1 1
GABRA5 0
MYO1E 0
KRT72 0
WIPI2 0
PPRC1 1
NCAPH2 1
FAM81A 0
MRPS28 1
ZNF37A 0
ITPK1 1
DMRTC1 0
CGB8 0
ERICH1 0
TCF19 0
SCAMP3 1
WSB2 1
ATP5D 0
ARL6IP1 1
SCYL3 1
PUS7 0
XIAP 0
MTL5 0
GIF 0
C8orf44 0
POTEC 0
DNAJB4 1
SLU7 1
PCBP2 1
HEBP2 0
LRSAM1 0
LRTM2 0
TBC1D7 1
TRIM63 0
SPATA8 0
CIB3 0
FDX1L 1
KCNQ1 0
FASN 1
AKAP7 0
QARS 1
TAP2 1
C22orf46 0
ZAP70 0
FGD6 1
FBXO38 0
PRAMEF21 0
HES2 0
CHRNA1 0
C1orf201 1
SGCD 1
WNT5B 0
ELAVL1 0
CD3EAP 0
LCTL 1
RNF207 0
CLIC1 1
CYP4F2 0
TRIM32 1
IGSF3 0
HEPHL1 1
DOLK 1
ARHGAP8 0
